,Date,Net Sales,Orders,Guests
11/19/2023,1970-01-01 00:00:00.000000828,20,20,
11/20/2023,1970-01-01 00:00:00.000000000,0,0,
11/21/2023,1970-01-01 00:00:00.000000506,15,15,
11/22/2023,1970-01-01 00:00:00.000000461,12,12,
11/23/2023,1970-01-01 00:00:00.000000000,0,0,
11/24/2023,1970-01-01 00:00:00.000000744,24,24,
11/25/2023,1970-01-01 00:00:00.000001265,41,41,
11/26/2023,1970-01-01 00:00:00.000000695,23,23,
11/27/2023,1970-01-01 00:00:00.000000000,0,0,
11/28/2023,1970-01-01 00:00:00.000000126,5,5,
11/29/2023,1970-01-01 00:00:00.000000370,14,14,
11/30/2023,1970-01-01 00:00:00.000000663,16,16,
12/01/2023,1970-01-01 00:00:00.000000699,24,24,
12/02/2023,1970-01-01 00:00:00.000000909,23,23,
12/03/2023,1970-01-01 00:00:00.000000467,17,17,
12/04/2023,1970-01-01 00:00:00.000000000,0,0,
12/05/2023,1970-01-01 00:00:00.000000328,14,14,
12/06/2023,1970-01-01 00:00:00.000000546,17,17,
12/07/2023,1970-01-01 00:00:00.000000544,17,17,
12/08/2023,1970-01-01 00:00:00.000000764,23,23,
12/09/2023,1970-01-01 00:00:00.000000886,26,26,
12/10/2023,1970-01-01 00:00:00.000000659,22,22,
12/11/2023,1970-01-01 00:00:00.000000000,0,0,
12/12/2023,1970-01-01 00:00:00.000000364,12,12,
12/13/2023,1970-01-01 00:00:00.000000598,19,19,
12/14/2023,1970-01-01 00:00:00.000000283,9,9,
12/15/2023,1970-01-01 00:00:00.000000768,22,22,
12/16/2023,1970-01-01 00:00:00.000000789,24,24,
12/17/2023,1970-01-01 00:00:00.000000608,16,16,
12/18/2023,1970-01-01 00:00:00.000000000,0,0,
12/19/2023,1970-01-01 00:00:00.000000248,9,9,
12/20/2023,1970-01-01 00:00:00.000000609,20,20,
12/21/2023,1970-01-01 00:00:00.000000438,16,16,
12/22/2023,1970-01-01 00:00:00.000000876,22,22,
12/23/2023,1970-01-01 00:00:00.000001218,30,30,
12/24/2023,1970-01-01 00:00:00.000001517,38,38,
12/25/2023,1970-01-01 00:00:00.000001528,44,44,
12/26/2023,1970-01-01 00:00:00.000000966,25,25,
12/27/2023,1970-01-01 00:00:00.000000672,17,17,
12/28/2023,1970-01-01 00:00:00.000000878,24,24,
12/29/2023,1970-01-01 00:00:00.000001284,32,32,
12/30/2023,1970-01-01 00:00:00.000001417,43,43,
12/31/2023,1970-01-01 00:00:00.000001136,31,31,
