Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
menuItem,SauceBros POS,Pizzas,Half & Half,,,Pizza,[],false,730.0,25.83,-0.04,18854.14,52.24,27.5,770.86,18774.4,1549.89,0.0,0.0
menuItem,SauceBros POS,Pizzas,Cheddar Birds,,,Pizza,[],false,19.0,20.83,0.00,395.8,0.0,0.0,41.98,395.8,32.63,0.0,0.0
menuItem,SauceBros POS,Pizzas,Bongo Tex Mex,,,Pizza,[],false,45.0,19.75,0.00,888.53,3.81,0.0,0.0,884.72,73.04,0.0,0.0
menuItem,SauceBros POS,Pizzas,Spicy Italian,,,Pizza,[],false,17.0,20.70,0.00,351.82,1.13,0.0,0.0,350.69,28.92,0.0,0.0
menuItem,SauceBros POS,Pizzas,Bros Supreme,,,Pizza,[],false,2.0,21.49,0.00,42.98,0.0,0.0,0.0,42.98,3.55,0.0,0.0
"",SauceBros POS,Pasta,,,,,,,401.0,12.66,,5075.91,14.48,0.0,64.90,5061.43,417.11,0.0,0.0
menuItem,SauceBros POS,Pasta,Alfredo Pasta,,,Pizza,[],false,204.0,12.86,9.99,2623.5,0.0,0.0,38.94,2623.5,216.23,0.0,0.0
menuItem,SauceBros POS,Pasta,Spicy Naga Pasta,,,Pizza,[],false,5.0,11.78,9.99,58.92,2.6,0.0,0.0,56.32,4.64,0.0,0.0
menuItem,SauceBros POS,Pasta,Tomato Basil Pasta,,,Pizza,[],false,47.0,12.09,9.99,568.2,1.5,0.0,0.0,566.7,46.66,0.0,0.0
menuItem,SauceBros POS,Pasta,Naga Habanero Pasta,,,Pizza,[],false,107.0,12.73,9.99,1361.95,10.38,0.0,25.96,1351.57,111.38,0.0,0.0
menuItem,SauceBros POS,Pasta,Pesto Pasta,,,Pizza,[],false,1.0,12.98,9.99,12.98,0.0,0.0,0.0,12.98,1.07,0.0,0.0
menuItem,SauceBros POS,Pasta,Spicy Naga Pasta,,,Pizza,[],false,37.0,12.17,9.99,450.36,0.0,0.0,0.0,450.36,37.13,0.0,0.0
"",SauceBros POS,Wraps,,,,,,,1253.0,7.78,,9750.35,562.71,0.0,253.07,9187.64,545.09,0.0,0.0
menuItem,SauceBros POS,Wraps,Beef Chopped Cheese,,,Pizza,[],false,282.0,8.03,8.00,2264.15,124.54,0.0,23.97,2139.61,151.93,0.0,0.0
menuItem,SauceBros POS,Wraps,Beef Wrap,,,Pizza,[],false,98.0,7.02,6.99,688.01,66.04,0.0,34.95,621.97,19.19,0.0,0.0
menuItem,SauceBros POS,Wraps,Garlic Beef Wrap,,,Pizza,[],false,8.0,6.99,6.99,55.92,0.0,0.0,6.99,55.92,4.63,0.0,0.0
menuItem,SauceBros POS,Wraps,Chicken Wrap,,,Pizza,[],false,808.0,7.81,7.78,6308.85,342.18,0.0,173.18,5966.67,336.03,0.0,0.0
menuItem,SauceBros POS,Wraps,Naga Chicken Wrap,,,Pizza,[],false,25.0,6.99,6.99,174.75,26.35,0.0,6.99,148.4,12.25,0.0,0.0
menuItem,SauceBros POS,Wraps,Mushrom Wrap,,,Pizza,[],false,1.0,6.99,6.99,6.99,0.0,0.0,0.0,6.99,0.58,0.0,0.0
menuItem,SauceBros POS,Wraps,Mushroom Wrap,,,Pizza,[],false,21.0,8.18,8.04,171.78,0.0,0.0,6.99,171.78,14.19,0.0,0.0
menuItem,SauceBros POS,Wraps,Paneer Wrap,,,Pizza,[],false,10.0,7.99,7.99,79.9,3.6,0.0,0.0,76.3,6.29,0.0,0.0
"",SauceBros POS,Drinks,,,,,,,1336.0,2.32,,3097.39,2.16,0.0,42.05,3095.23,247.94,0.0,0.0
menuItem,SauceBros POS,Drinks,Soda (Can),,,Pizza,[],false,667.0,2.78,2.78,1854.68,0.53,0.0,17.99,1854.15,149.87,0.0,0.0
menuItem,SauceBros POS,Drinks,Soft Drinks (Can),,,Pizza,[],false,353.0,1.80,1.80,635.47,1.63,0.0,14.91,633.84,49.27,0.0,0.0
menuItem,SauceBros POS,Drinks,Water (small),,,Pizza,[],false,298.0,1.82,1.82,543.42,0.0,0.0,9.15,543.42,43.5,0.0,0.0
menuItem,SauceBros POS,Drinks,Soda 2L,,,Pizza,[],false,10.0,3.99,3.99,39.9,0.0,0.0,0.0,39.9,3.3,0.0,0.0
menuItem,SauceBros POS,Drinks,Soft Drink (2L),,,Pizza,[],false,8.0,2.99,2.99,23.92,0.0,0.0,0.0,23.92,2.0,0.0,0.0
"",SauceBros POS,Side,,,,,,,33.0,1.14,,37.67,0.0,0.0,0.0,37.67,3.04,0.0,0.0
menuItem,SauceBros POS,Side,Hot Honey,,,Pizza,[],false,5.0,1.99,1.99,9.95,0.0,0.0,0.0,9.95,0.8,0.0,0.0
